Brand,Model,Year,Mileage,EngineSize,Horsepower,FuelEfficiency_MPG,Accidents,MaintenanceScore,Price
Toyota,Camry,2019,45000,2.5,203,32,0,85,23500
Honda,Civic,2020,35000,1.8,158,36,0,90,21000
BMW,3 Series,2018,55000,3.0,255,28,1,82,32000
Ford,F-150,2021,25000,3.5,375,22,0,95,41000
Mercedes,C-Class,2017,65000,2.0,241,25,1,78,28500
Toyota,RAV4,2020,30000,2.5,203,30,0,88,26000
Honda,CR-V,2019,42000,1.5,190,28,0,86,24500
BMW,X5,2018,58000,3.0,335,20,2,75,38000
Ford,Explorer,2021,28000,2.3,300,24,0,92,36000
Mercedes,GLC,2019,48000,2.0,255,24,0,87,35500
Toyota,Corolla,2020,32000,1.8,139,35,0,89,19500
Honda,Accord,2018,52000,2.0,252,30,1,83,22000
BMW,5 Series,2019,45000,3.0,335,25,0,88,42000
Ford,Escape,2020,38000,2.0,250,26,0,86,25000
Mercedes,E-Class,2017,62000,3.0,329,23,1,80,33000
Toyota,Highlander,2021,22000,3.5,295,24,0,94,38000
Honda,Pilot,2020,35000,3.5,280,23,0,90,34000
BMW,X3,2019,48000,2.0,248,25,1,84,36000
Ford,Focus,2018,55000,2.0,160,30,2,77,16000
Mercedes,GLE,2020,32000,3.0,362,22,0,91,52000
Toyota,Camry,2018,58000,2.5,203,32,1,81,20000
Honda,Civic,2019,42000,1.8,158,36,0,87,19500
BMW,3 Series,2020,28000,3.0,255,28,0,93,38000
Ford,F-150,2019,45000,3.5,375,22,1,85,36000
Mercedes,C-Class,2018,52000,2.0,241,25,1,82,26000
Toyota,RAV4,2021,25000,2.5,203,30,0,92,28000
Honda,CR-V,2020,35000,1.5,190,28,0,89,25500
BMW,X5,2019,42000,3.0,335,20,1,86,40000
Ford,Explorer,2020,32000,2.3,300,24,0,90,34000
Mercedes,GLC,2018,55000,2.0,255,24,2,79,31000
